Address,Case Number,Crime Against,Neighborhood,Number of Records,Occur Date,Occur Month Year,Occur Time,Offense Category,Offense Count,Offense Type,Open Data Lat,Open Data Lon,Open Data X,Open Data Y,Report Date,Report Month Year
NULL,17-X4762181,Person,NULL,1,1/1/96,1/1/96,800,Sex Offenses,1,Rape,NULL,NULL,NULL,NULL,1/26/17,1/1/17
NULL,17-X4757824,Property,Centennial,1,1/20/00,1/1/00,1615,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/20/17,1/1/17
200 BLOCK OF SE 78TH AVE,17-900367,Property,Montavilla,1,12/1/03,12/1/03,800,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5207,-122.583,7668150,682825,1/9/17,1/1/17
NULL,17-X4748982,Property,Southwest Hills,1,1/1/10,1/1/10,0,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/5/17,1/1/17
NULL,17-X4748982,Property,Southwest Hills,1,1/1/10,1/1/10,0,Larceny Offenses,1,All Other Larceny,NULL,NULL,NULL,NULL,1/5/17,1/1/17
5400 BLOCK OF NE MALLORY AVE,17-900129,Property,King,1,11/28/10,11/1/10,1612,Fraud Offenses,1,Identity Theft,45.5625,-122.664,7647987,698581,1/3/17,1/1/17
5000 BLOCK OF NE 19TH AVE,17-901079,Property,Vernon,1,11/8/13,11/1/13,1200,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5594,-122.646,7652567,697337,1/26/17,1/1/17
5000 BLOCK OF NE 19TH AVE,17-901079,Property,Vernon,1,11/8/13,11/1/13,1200,Fraud Offenses,1,Identity Theft,45.5594,-122.646,7652567,697337,1/26/17,1/1/17
12000 BLOCK OF SE PINE ST,17-900253,Property,Hazelwood,1,1/6/14,1/1/14,805,Fraud Offenses,1,Credit Card/ATM Fraud,45.5204,-122.539,7679522,682404,1/6/17,1/1/17
12000 BLOCK OF SE PINE ST,17-900253,Property,Hazelwood,1,1/6/14,1/1/14,805,Fraud Offenses,1,Identity Theft,45.5204,-122.539,7679522,682404,1/6/17,1/1/17
12200 BLOCK OF N JANTZEN DR,17-11435,Property,Hayden Island,1,3/6/14,3/1/14,900,Fraud Offenses,1,Identity Theft,45.6116,-122.676,7645287,716588,1/12/17,1/1/17
1600 BLOCK OF NE 148TH PL,17-901114,Property,Wilkes,1,5/1/14,5/1/14,1120,Fraud Offenses,1,Identity Theft,45.5352,-122.508,7687592,687631,1/27/17,1/1/17
12800 BLOCK OF NE AIRPORT WAY,17-30672,Property,Argay,1,10/16/14,10/1/14,0,Embezzlement,1,Embezzlement,45.5639,-122.53,7682294,698212,1/31/17,1/1/17
UNKNOWN ADDRESS,17-23112,Property,NULL,1,3/1/15,3/1/15,1145,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,NULL,NULL,NULL,NULL,1/24/17,1/1/17
UNKNOWN ADDRESS,17-23112,Property,NULL,1,3/1/15,3/1/15,1145,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/24/17,1/1/17
800 BLOCK OF N WEBSTER ST,17-901179,Property,Humboldt,1,4/28/15,4/1/15,1620,Fraud Offenses,1,Identity Theft,45.5598,-122.676,7644953,697679,1/28/17,1/1/17
1200 BLOCK OF LLOYD CENTER,17-900552,Property,Lloyd,1,6/22/15,6/1/15,2357,Larceny Offenses,1,Shoplifting,45.5323,-122.655,7650030,687510,1/14/17,1/1/17
2200 BLOCK OF SE DIVISION ST,17-900992,Property,Hosford-Abernethy,1,7/7/15,7/1/15,1500,Larceny Offenses,1,All Other Larceny,45.5049,-122.643,7652722,677445,1/24/17,1/1/17
8100 BLOCK OF N DENVER AVE,17-901280,Property,Kenton,1,7/28/15,7/1/15,100,Larceny Offenses,1,All Other Larceny,45.582,-122.687,7642273,705875,1/30/17,1/1/17
5700 BLOCK OF NE 32ND PL,17-900356,Property,Concordia,1,9/9/15,9/1/15,935,Fraud Offenses,1,Identity Theft,45.5642,-122.632,7656219,698985,1/9/17,1/1/17
2800 BLOCK OF NE HOYT ST,17-900419,Property,Kerns,1,10/10/15,10/1/15,1040,Fraud Offenses,1,Identity Theft,45.5272,-122.637,7654613,685555,1/10/17,1/1/17
500 BLOCK OF NE ROYAL CT,17-900020,Property,Laurelhurst,1,12/28/15,12/1/15,2200,Larceny Offenses,1,Theft From Motor Vehicle,45.527,-122.626,7657335,685399,1/1/17,1/1/17
5000 BLOCK OF NE 102ND AVE,17-900014,Property,Parkrose,1,12/31/15,12/1/15,30,Larceny Offenses,1,Theft From Motor Vehicle,45.5595,-122.558,7675080,696801,1/1/17,1/1/17
3600 BLOCK OF NE 148TH AVE,17-900627,Property,Wilkes,1,12/17/15,12/1/15,2200,Larceny Offenses,1,All Other Larceny,45.5499,-122.51,7687263,692972,1/16/17,1/1/17
2800 BLOCK OF SE 130TH AVE,17-900656,Property,Powellhurst-Gilbert,1,12/24/15,12/1/15,1250,Fraud Offenses,1,Credit Card/ATM Fraud,45.5017,-122.53,7681672,675560,1/17/17,1/1/17
2800 BLOCK OF SE 130TH AVE,17-900656,Property,Powellhurst-Gilbert,1,12/24/15,12/1/15,1250,Fraud Offenses,1,Identity Theft,45.5017,-122.53,7681672,675560,1/17/17,1/1/17
1300 BLOCK OF NW IRVING ST,17-901000,Property,Pearl,1,12/1/15,12/1/15,1550,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5279,-122.685,7642247,686114,1/24/17,1/1/17
1300 BLOCK OF NW IRVING ST,17-901000,Property,Pearl,1,12/1/15,12/1/15,1550,Fraud Offenses,1,Identity Theft,45.5279,-122.685,7642247,686114,1/24/17,1/1/17
UNKNOWN ADDRESS,17-901337,Property,NULL,1,12/28/15,12/1/15,1020,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,NULL,NULL,NULL,NULL,1/31/17,1/1/17
UNKNOWN ADDRESS,17-901337,Property,NULL,1,12/28/15,12/1/15,1020,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/31/17,1/1/17
8300 BLOCK OF N OLYMPIA ST,17-916820,Property,St Johns,1,1/1/16,1/1/16,0,Fraud Offenses,1,Identity Theft,45.5978,-122.748,7626843,712052,1/2/17,1/1/17
2600 BLOCK OF N MARINE DR,17-900019,Property,Kenton,1,1/30/16,1/1/16,1530,Larceny Offenses,1,Theft From Motor Vehicle,45.6098,-122.694,7640787,716047,1/2/17,1/1/17
500 BLOCK OF SW OAK ST,17-900051,Property,Downtown,1,1/31/16,1/1/16,2300,Larceny Offenses,1,Theft From Motor Vehicle,45.5217,-122.677,7644291,683795,1/2/17,1/1/17
1300 BLOCK OF SW WASHINGTON ST,17-4490,Property,Downtown,1,1/3/16,1/1/16,1900,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5223,-122.685,7642167,684106,1/5/17,1/1/17
600 BLOCK OF SE ST ANDREWS DR,17-4794,Property,Sellwood-Moreland,1,1/5/16,1/1/16,1600,Burglary,1,Burglary,45.4558,-122.648,7651015,659607,1/5/17,1/1/17
0 BLOCK OF NW 16TH AVE,17-900378,Property,Northwest,1,1/1/16,1/1/16,815,Larceny Offenses,1,Theft From Motor Vehicle,45.5232,-122.687,7641607,684442,1/9/17,1/1/17
4400 BLOCK OF SE 63RD AVE,17-8229,Property,Foster-Powell,1,1/7/16,1/1/16,1900,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.4906,-122.598,7664015,671952,1/9/17,1/1/17
4400 BLOCK OF SE 63RD AVE,17-8229,Property,Foster-Powell,1,1/7/16,1/1/16,1900,Motor Vehicle Theft,1,Motor Vehicle Theft,45.4906,-122.598,7664015,671952,1/9/17,1/1/17
7400 BLOCK OF SE 82ND AVE,17-9686,Property,Brentwood-Darlington,1,1/19/16,1/1/16,1200,Counterfeiting/Forgery,1,Counterfeiting/Forgery,45.4698,-122.579,7668786,664234,1/10/17,1/1/17
7400 BLOCK OF SE 82ND AVE,17-9686,Property,Brentwood-Darlington,1,1/19/16,1/1/16,1200,Fraud Offenses,1,Identity Theft,45.4698,-122.579,7668786,664234,1/10/17,1/1/17
7400 BLOCK OF SE 82ND AVE,17-9686,Property,Brentwood-Darlington,1,1/19/16,1/1/16,1200,Larceny Offenses,1,All Other Larceny,45.4698,-122.579,7668786,664234,1/10/17,1/1/17
15500 BLOCK OF SE MILLMAIN DR,17-10540,Property,Centennial,1,1/10/16,1/1/16,1800,Burglary,1,Burglary,45.5114,-122.504,7688394,678915,1/11/17,1/1/17
1000 BLOCK OF NW 19TH AVE,17-12514,Property,Northwest,1,1/1/16,1/1/16,1,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5303,-122.69,7640834,687042,1/13/17,1/1/17
700 BLOCK OF SE 17TH AVE,17-13925,Property,Buckman East,1,1/13/16,1/1/16,2100,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.5175,-122.649,7651454,682105,1/14/17,1/1/17
NULL,17-X4759635,Person,Reed,1,1/24/16,1/1/16,2201,Assault Offenses,1,Intimidation,NULL,NULL,NULL,NULL,1/24/17,1/1/17
5400 BLOCK OF NE PRESCOTT ST,17-23479,Property,Cully,1,1/24/16,1/1/16,1730,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5555,-122.607,7662386,695675,1/24/17,1/1/17
2200 BLOCK OF N INTERSTATE AVE,17-25705,Property,Eliot,1,1/26/16,1/1/16,2003,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5392,-122.675,7644851,690175,1/26/17,1/1/17
SE JOHNSON CREEK BLVD / SE BELL AVE,17-25144,Property,NULL,1,1/26/16,1/1/16,1015,Vandalism,1,Vandalism,45.4559,-122.593,7665135,659279,1/26/17,1/1/17
7500 BLOCK OF SE OGDEN ST,17-26355,Property,Brentwood-Darlington,1,1/10/16,1/1/16,0,Larceny Offenses,1,Theft of Motor Vehicle Parts or Accessories,45.4709,-122.586,7667040,664700,1/27/17,1/1/17
600 BLOCK OF SW PALATINE HILL RD,17-800167,Property,Collins View,1,1/28/16,1/1/16,922,Vandalism,1,Vandalism,45.4507,-122.673,7644652,657890,1/28/17,1/1/17
8200 BLOCK OF N DENVER AVE,17-30513,Property,Kenton,1,1/13/16,1/1/16,0,Embezzlement,1,Embezzlement,45.5827,-122.687,7642247,706135,1/31/17,1/1/17
NULL,17-X4764686,Property,Kenton,1,4/7/16,4/1/16,1200,Counterfeiting/Forgery,1,Counterfeiting/Forgery,NULL,NULL,NULL,NULL,1/26/17,1/1/17
NULL,17-X4764686,Property,Kenton,1,4/7/16,4/1/16,1200,Motor Vehicle Theft,1,Motor Vehicle Theft,NULL,NULL,NULL,NULL,1/26/17,1/1/17
NULL,17-X4759445,Person,Cully,1,5/1/16,5/1/16,0,Assault Offenses,1,Intimidation,NULL,NULL,NULL,NULL,1/23/17,1/1/17
NULL,17-X4769290,Person,Kenton,1,6/1/16,6/1/16,0,"Sex Offenses, Nonforcible",1,Statutory Rape,NULL,NULL,NULL,NULL,1/3/17,1/1/17
NULL,17-X4750558,Property,Downtown,1,6/1/16,6/1/16,1200,Larceny Offenses,1,All Other Larceny,NULL,NULL,NULL,NULL,1/9/17,1/1/17
10300 BLOCK OF E BURNSIDE ST,17-12585,Property,Hazelwood,1,6/29/16,6/1/16,900,Larceny Offenses,1,All Other Larceny,45.5228,-122.557,7675002,683398,1/13/17,1/1/17
1200 BLOCK OF LLOYD CENTER,17-900556,Property,Lloyd,1,6/22/16,6/1/16,1918,Larceny Offenses,1,Shoplifting,45.5323,-122.655,7650030,687510,1/14/17,1/1/17
1200 BLOCK OF LLOYD CENTER,17-900558,Property,Lloyd,1,6/28/16,6/1/16,1638,Larceny Offenses,1,Shoplifting,45.5323,-122.655,7650030,687510,1/14/17,1/1/17
1200 BLOCK OF LLOYD CENTER,17-900559,Property,Lloyd,1,6/28/16,6/1/16,1956,Larceny Offenses,1,Shoplifting,45.5323,-122.655,7650030,687510,1/14/17,1/1/17
2700 BLOCK OF NW INDUSTRIAL ST,17-17863,Property,Northwest Industrial,1,6/7/16,6/1/16,800,Counterfeiting/Forgery,1,Counterfeiting/Forgery,45.5412,-122.709,7636104,691150,1/19/17,1/1/17
2700 BLOCK OF NW INDUSTRIAL ST,17-17863,Property,Northwest Industrial,1,6/7/16,6/1/16,800,Fraud Offenses,1,Identity Theft,45.5412,-122.709,7636104,691150,1/19/17,1/1/17
NULL,17-X4779588,Person,Pleasant Valley,1,6/1/16,6/1/16,0,Assault Offenses,1,Simple Assault,NULL,NULL,NULL,NULL,1/26/17,1/1/17
1100 BLOCK OF SW 2ND AVE,17-27849,Property,Downtown,1,6/1/16,6/1/16,1,Fraud Offenses,1,Identity Theft,45.515,-122.676,7644326,681371,1/28/17,1/1/17
10200 BLOCK OF NE CASCADES PKWY,17-900563,Property,NULL,1,7/1/16,7/1/16,2004,Larceny Offenses,1,Shoplifting,45.5724,-122.557,7675473,701487,1/14/17,1/1/17
10200 BLOCK OF NE CASCADES PKWY,17-900566,Property,NULL,1,7/3/16,7/1/16,1237,Larceny Offenses,1,Shoplifting,45.5724,-122.557,7675473,701487,1/14/17,1/1/17
4800 BLOCK OF N LOMBARD ST,17-21455,Property,University Park,1,7/25/16,7/1/16,214,Larceny Offenses,1,Theft From Building,45.5804,-122.719,7634136,705503,1/22/17,1/1/17
10200 BLOCK OF SE WASHINGTON ST,17-800305,Property,Mill Park,1,7/9/16,7/1/16,1302,Embezzlement,1,Embezzlement,45.5183,-122.558,7674594,681777,1/31/17,1/1/17
UNKNOWN ADDRESS,17-1216,Property,NULL,1,8/1/16,8/1/16,900,Larceny Offenses,1,Theft From Motor Vehicle,NULL,NULL,NULL,NULL,1/2/17,1/1/17
10600 BLOCK OF NE HOLMAN ST,17-3404,Property,Parkrose,1,8/31/16,8/1/16,1228,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5672,-122.553,7676265,699565,1/4/17,1/1/17
1300 BLOCK OF NE 76TH AVE,17-900654,Property,Montavilla,1,8/12/16,8/1/16,1100,Larceny Offenses,1,All Other Larceny,45.5325,-122.585,7667896,687133,1/17/17,1/1/17
7900 BLOCK OF NE HALSEY ST,17-17108,Property,Montavilla,1,8/30/16,8/1/16,1200,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5336,-122.581,7668782,687495,1/18/17,1/1/17
9300 BLOCK OF N WALL AVE,17-17231,Property,Portsmouth,1,8/30/16,8/1/16,1200,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5906,-122.728,7631743,709270,1/18/17,1/1/17
UNKNOWN ADDRESS,17-24017,Property,NULL,1,8/1/16,8/1/16,0,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,NULL,NULL,NULL,NULL,1/25/17,1/1/17
UNKNOWN ADDRESS,17-24017,Property,NULL,1,8/1/16,8/1/16,0,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/25/17,1/1/17
NULL,17-X4765012,Property,Hazelwood,1,8/1/16,8/1/16,800,Fraud Offenses,1,Identity Theft,NULL,NULL,NULL,NULL,1/30/17,1/1/17
4400 BLOCK OF NE 158TH AVE,17-901292,Property,Wilkes,1,8/17/16,8/1/16,1725,Larceny Offenses,1,All Other Larceny,45.5552,-122.5,7689770,694854,1/30/17,1/1/17
2000 BLOCK OF SW MOSS ST,17-1527,Property,Hillsdale,1,9/11/16,9/1/16,800,Burglary,1,Burglary,45.4679,-122.699,7638111,664371,1/2/17,1/1/17
7500 BLOCK OF SE MADISON ST,17-1599,Property,Mt Tabor,1,9/30/16,9/1/16,0,Fraud Offenses,1,Identity Theft,45.513,-122.586,7667519,680012,1/2/17,1/1/17
SE CESAR E CHAVEZ BLVD / SE CENTER ST,17-900117,Property,Creston-Kenilworth,1,9/21/16,9/1/16,2355,Larceny Offenses,1,Theft From Motor Vehicle,45.4941,-122.623,7657858,673370,1/3/17,1/1/17
7600 BLOCK OF SE 112TH AVE,17-5975,Property,Lents,1,9/13/16,9/1/16,0,Fraud Offenses,1,Identity Theft,45.4675,-122.548,7676709,663206,1/6/17,1/1/17
7600 BLOCK OF SE 112TH AVE,17-5975,Property,Lents,1,9/13/16,9/1/16,0,Larceny Offenses,1,All Other Larceny,45.4675,-122.548,7676709,663206,1/6/17,1/1/17
1400 BLOCK OF SE BELMONT ST,17-900295,Property,Buckman East,1,9/27/16,9/1/16,1720,Fraud Offenses,1,Credit Card/ATM Fraud,45.5164,-122.651,7650776,681720,1/6/17,1/1/17
1400 BLOCK OF SE BELMONT ST,17-900295,Property,Buckman East,1,9/27/16,9/1/16,1720,Fraud Offenses,1,Identity Theft,45.5164,-122.651,7650776,681720,1/6/17,1/1/17
2600 BLOCK OF NE MARTIN LUTHER KING JR BLVD,17-20085,Property,Eliot,1,9/2/16,9/1/16,1629,Larceny Offenses,1,Shoplifting,45.5416,-122.662,7648350,690952,1/21/17,1/1/17
2600 BLOCK OF NE MARTIN LUTHER KING JR BLVD,17-20145,Property,Eliot,1,9/13/16,9/1/16,1454,Larceny Offenses,1,Shoplifting,45.5416,-122.662,7648350,690952,1/21/17,1/1/17
1000 BLOCK OF SW JEFFERSON ST,17-900855,Property,Downtown,1,9/28/16,9/1/16,2000,Larceny Offenses,1,All Other Larceny,45.5161,-122.685,7642141,681831,1/22/17,1/1/17
14800 BLOCK OF SE TAYLOR CT,17-27427,Property,Centennial,1,9/1/16,9/1/16,0,Larceny Offenses,1,All Other Larceny,45.5149,-122.51,7686821,680229,1/28/17,1/1/17
3400 BLOCK OF N WILLIAMS AVE,17-28577,Property,Eliot,1,9/10/16,9/1/16,1114,Larceny Offenses,1,Shoplifting,45.5479,-122.667,7647082,693280,1/29/17,1/1/17
3000 BLOCK OF SE 79TH AVE,17-901322,Property,South Tabor,1,9/29/16,9/1/16,1055,Fraud Offenses,1,Identity Theft,45.5004,-122.582,7668339,675409,1/31/17,1/1/17
1300 BLOCK OF SW CUSTER DR,17-900127,Property,Hillsdale,1,10/4/16,10/1/16,1300,Larceny Offenses,1,Theft From Motor Vehicle,45.4698,-122.693,7639656,665007,1/3/17,1/1/17
12100 BLOCK OF SE STARK ST,17-3316,Property,Mill Park,1,10/3/16,10/1/16,1451,Motor Vehicle Theft,1,Motor Vehicle Theft,45.519,-122.538,7679731,681895,1/4/17,1/1/17
3300 BLOCK OF SE RAYMOND ST,17-800024,Property,Reed,1,10/24/16,10/1/16,0,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.4871,-122.629,7656080,670885,1/4/17,1/1/17
7900 BLOCK OF N COURTENAY AVE,17-900192,Property,Portsmouth,1,10/25/16,10/1/16,2300,Larceny Offenses,1,Theft From Motor Vehicle,45.5828,-122.72,7633910,706371,1/4/17,1/1/17
8300 BLOCK OF SE HARNEY ST,17-900242,Property,Lents,1,10/1/16,10/1/16,25,Vandalism,1,Vandalism,45.4632,-122.577,7669227,661831,1/6/17,1/1/17
1100 BLOCK OF SW 2ND AVE,17-5712,Property,Downtown,1,10/20/16,10/1/16,1200,Robbery,1,Robbery,45.515,-122.676,7644326,681371,1/6/17,1/1/17
1800 BLOCK OF N TOMAHAWK ISLAND DR,17-5919,Property,Hayden Island,1,10/28/16,10/1/16,1240,Larceny Offenses,1,Shoplifting,45.6134,-122.686,7642920,717295,1/6/17,1/1/17
10100 BLOCK OF SE WASHINGTON ST,17-16973,Property,Hazelwood,1,10/6/16,10/1/16,800,Larceny Offenses,1,Shoplifting,45.5183,-122.559,7674423,681781,1/18/17,1/1/17
2900 BLOCK OF SE 92ND AVE,17-900828,Property,Powellhurst-Gilbert,1,10/29/16,10/1/16,2335,Fraud Offenses,1,Identity Theft,45.5008,-122.568,7671837,675453,1/21/17,1/1/17
2800 BLOCK OF NW SANTANITA TER,17-900866,Property,Hillside,1,10/10/16,10/1/16,300,Larceny Offenses,1,Theft From Motor Vehicle,45.5241,-122.709,7635937,684906,1/22/17,1/1/17
9000 BLOCK OF N RAMSEY BLVD,17-901045,Property,St Johns,1,10/31/16,10/1/16,1430,Fraud Offenses,1,Identity Theft,45.6239,-122.77,7621303,721718,1/25/17,1/1/17
NULL,17-X4764175,Person,Buckman West,1,10/8/16,10/1/16,2200,Sex Offenses,1,Fondling,NULL,NULL,NULL,NULL,1/29/17,1/1/17
SE FOSTER RD / SE 72ND AVE,17-680013,Property,Foster-Powell,1,11/1/16,11/1/16,0,Larceny Offenses,1,All Other Larceny,45.4865,-122.589,7666362,670391,1/1/17,1/1/17
SE DIVISION ST / SE 28TH AVE,17-680011,Property,Hosford-Abernethy,1,11/1/16,11/1/16,0,Larceny Offenses,1,All Other Larceny,45.5048,-122.638,7654119,677388,1/1/17,1/1/17
8400 BLOCK OF N INTERSTATE AVE,17-680012,Property,Kenton,1,11/1/16,11/1/16,0,Larceny Offenses,1,All Other Larceny,45.5839,-122.686,7642377,706543,1/1/17,1/1/17
100 BLOCK OF SE 82ND AVE,17-680010,Property,Montavilla,1,11/1/16,11/1/16,1200,Larceny Offenses,1,All Other Larceny,45.5215,-122.579,7669271,683090,1/1/17,1/1/17
NE SANDY BLVD / NE 118TH AVE,17-680015,Property,Parkrose,1,11/1/16,11/1/16,0,Larceny Offenses,1,All Other Larceny,45.5576,-122.541,7679274,696003,1/1/17,1/1/17
1100 BLOCK OF SE TACOMA ST,17-680014,Property,Sellwood-Moreland,1,11/1/16,11/1/16,0,Larceny Offenses,1,All Other Larceny,45.4643,-122.654,7649403,662733,1/1/17,1/1/17
8500 BLOCK OF N WAYLAND AVE,17-349,Property,Portsmouth,1,11/30/16,11/1/16,830,Vandalism,1,Vandalism,45.5847,-122.711,7636044,707015,1/1/17,1/1/17
23200 BLOCK OF NE VILLAGE CT,17-900093,Property,NULL,1,11/16/16,11/1/16,230,Larceny Offenses,1,Theft From Motor Vehicle,45.5355,-122.422,7709609,687189,1/2/17,1/1/17
4700 BLOCK OF NE 48TH PL,17-1556,Property,Cully,1,11/24/16,11/1/16,0,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5572,-122.613,7660947,696334,1/2/17,1/1/17
UNKNOWN ADDRESS,17-2419,Property,NULL,1,11/30/16,11/1/16,800,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,NULL,NULL,NULL,NULL,1/3/17,1/1/17
3200 BLOCK OF NE STANTON ST,17-3406,Property,Alameda,1,11/3/16,11/1/16,2113,Counterfeiting/Forgery,1,Counterfeiting/Forgery,45.5436,-122.631,7656142,691480,1/4/17,1/1/17
3200 BLOCK OF NE STANTON ST,17-3406,Property,Alameda,1,11/3/16,11/1/16,2113,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5436,-122.631,7656142,691480,1/4/17,1/1/17
11900 BLOCK OF SE 82ND AVE,17-800137,Property,NULL,1,11/22/16,11/1/16,2039,Larceny Offenses,1,Shoplifting,45.4365,-122.579,7668514,652093,1/4/17,1/1/17
5200 BLOCK OF NE 30TH AVE,17-3788,Property,Concordia,1,11/27/16,11/1/16,1700,Fraud Offenses,1,False Pretenses/Swindle/Confidence Game,45.5609,-122.635,7655380,697811,1/4/17,1/1/17
5200 BLOCK OF NE 30TH AVE,17-3788,Property,Concordia,1,11/27/16,11/1/16,1700,Fraud Offenses,1,Identity Theft,45.5609,-122.635,7655380,697811,1/4/17,1/1/17
7900 BLOCK OF NE GLISAN ST,17-4526,Property,Montavilla,1,11/18/16,11/1/16,1300,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5265,-122.582,7668595,684914,1/5/17,1/1/17
7900 BLOCK OF NE GLISAN ST,17-4526,Property,Montavilla,1,11/18/16,11/1/16,1300,Vandalism,1,Vandalism,45.5265,-122.582,7668595,684914,1/5/17,1/1/17
600 BLOCK OF SW WASHINGTON ST,17-4616,Property,Downtown,1,11/23/16,11/1/16,828,Larceny Offenses,1,Shoplifting,45.5205,-122.678,7643822,683388,1/5/17,1/1/17
6700 BLOCK OF SE 87TH AVE,17-900270,Property,Lents,1,11/7/16,11/1/16,1500,Larceny Offenses,1,Theft From Motor Vehicle,45.4737,-122.574,7670158,665607,1/6/17,1/1/17
6800 BLOCK OF N SMITH ST,17-5653,Property,St Johns,1,11/17/16,11/1/16,1314,Fraud Offenses,1,Identity Theft,45.5903,-122.734,7630189,709235,1/6/17,1/1/17
5400 BLOCK OF SE 87TH AVE,17-7880,Property,Lents,1,11/23/16,11/1/16,900,Motor Vehicle Theft,1,Motor Vehicle Theft,45.4832,-122.574,7670326,669098,1/8/17,1/1/17
7300 BLOCK OF N ST LOUIS AVE,17-900396,Property,St Johns,1,11/1/16,11/1/16,1845,Fraud Offenses,1,Identity Theft,45.5927,-122.758,7624170,710276,1/9/17,1/1/17
7300 BLOCK OF N ST LOUIS AVE,17-900396,Property,St Johns,1,11/1/16,11/1/16,1845,Larceny Offenses,1,All Other Larceny,45.5927,-122.758,7624170,710276,1/9/17,1/1/17
400 BLOCK OF SE GRAND AVE,17-8297,Property,Buckman West,1,11/9/16,11/1/16,0,Embezzlement,1,Embezzlement,45.5197,-122.661,7648360,682982,1/9/17,1/1/17
10100 BLOCK OF NE CASCADES PKWY,17-8575,Property,NULL,1,11/21/16,11/1/16,2034,Larceny Offenses,1,Shoplifting,45.5729,-122.558,7675128,701693,1/9/17,1/1/17
1400 BLOCK OF SE UMATILLA ST,17-12403,Property,Sellwood-Moreland,1,11/25/16,11/1/16,2329,Larceny Offenses,1,All Other Larceny,45.4629,-122.652,7650155,662192,1/13/17,1/1/17
11100 BLOCK OF NE SHAVER ST,17-13618,Property,Parkrose,1,11/1/16,11/1/16,1333,Larceny Offenses,1,All Other Larceny,45.5517,-122.548,7677514,693893,1/14/17,1/1/17
NULL,17-X4830423,Person,NULL,1,11/11/16,11/1/16,1524,Sex Offenses,1,Rape,NULL,NULL,NULL,NULL,1/17/17,1/1/17
6500 BLOCK OF SW MACADAM AVE,17-900638,Property,South Portland,1,11/11/16,11/1/16,800,Fraud Offenses,1,Identity Theft,45.4769,-122.672,7645053,667452,1/17/17,1/1/17
11600 BLOCK OF NE GLENN WIDING DR,17-900688,Property,Parkrose,1,11/23/16,11/1/16,1015,Larceny Offenses,1,All Other Larceny,45.5706,-122.545,7678449,700768,1/18/17,1/1/17
NE KILLINGSWORTH ST / NE CULLY BLVD,17-18155,Property,Cully,1,11/20/16,11/1/16,1500,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5627,-122.594,7665805,698204,1/19/17,1/1/17
1900 BLOCK OF SW 5TH AVE,17-900817,Property,Downtown,1,11/29/16,11/1/16,935,Larceny Offenses,1,All Other Larceny,45.5092,-122.683,7642565,679284,1/21/17,1/1/17
NULL,17-X4758497,Person,Piedmont,1,11/9/16,11/1/16,2300,"Sex Offenses, Nonforcible",1,Statutory Rape,NULL,NULL,NULL,NULL,1/22/17,1/1/17
11500 BLOCK OF NE GLENN WIDING DR,17-900880,Property,Parkrose,1,11/10/16,11/1/16,2320,Vandalism,1,Vandalism,45.5695,-122.546,7678269,700355,1/23/17,1/1/17
300 BLOCK OF SW MONTGOMERY ST,17-900919,Property,Downtown,1,11/30/16,11/1/16,800,Larceny Offenses,1,All Other Larceny,45.5094,-122.674,7644932,679310,1/23/17,1/1/17
8900 BLOCK OF NE EUGENE ST,17-901010,Property,Madison South,1,11/1/16,11/1/16,2325,Larceny Offenses,1,All Other Larceny,45.538,-122.571,7671556,689044,1/24/17,1/1/17
NW 13TH AVE / NW KEARNEY ST,17-800123,Property,Pearl,1,11/11/16,11/1/16,2200,Vandalism,1,Vandalism,45.5293,-122.684,7642378,686650,1/24/17,1/1/17
300 BLOCK OF SW PINE ST,17-23091,Property,Downtown,1,11/15/16,11/1/16,1700,Motor Vehicle Theft,1,Motor Vehicle Theft,45.5217,-122.674,7644892,683791,1/24/17,1/1/17
